ppm	mollisols	cambisol	acrisol
198.251	-9.89814E-06	6.2479E-05	3.43827E-05
211.841	-8.57337E-06	4.86195E-05	7.1393E-06
197.037	-6.10568E-06	0.000111784	3.44978E-05
191.698	-3.64665E-06	0.00016244	7.07585E-05
211.355	-2.77214E-06	0.000118471	2.80485E-06
198.493	3.70933E-07	2.7657E-05	3.9267E-05
207.472	4.83486E-07	8.62476E-05	7.50192E-06
198.736	9.07764E-07	-7.16482E-06	4.45093E-05
216.694	1.07227E-06	0.000187907	0.000103665
198.979	1.4446E-06	-4.19867E-05	4.93587E-05
190.97	2.34508E-06	0.000203361	8.15405E-05
206.259	3.83437E-06	0.000132781	5.6237E-05
196.795	4.54437E-06	0.000126302	3.9199E-05
211.598	5.41022E-06	8.35454E-05	5.12925E-06
204.318	6.3973E-06	0.000106795	3.73846E-05
200.92	7.4017E-06	7.74821E-05	4.95691E-05
222.518	1.36965E-05	0.000209528	2.82088E-05
224.702	1.47442E-05	8.55206E-05	-7.61984E-05
196.552	1.51944E-05	0.00014082	4.42089E-05
194.611	1.78266E-05	0.000106725	8.26088E-05
196.309	1.82942E-05	0.000155337	4.89779E-05
194.853	2.02683E-05	0.000106067	7.56935E-05
191.941	2.0632E-05	0.000138082	7.19805E-05
221.062	2.10563E-05	8.14991E-06	3.58483E-05
207.23	2.13247E-05	0.00010132	1.52257E-05
196.067	2.1394E-05	0.000155996	5.32317E-05
194.368	2.1394E-05	0.000107384	8.99138E-05
202.862	2.20347E-05	0.000126129	7.29275E-07
204.075	2.23031E-05	0.000154783	2.67662E-05
195.096	2.27101E-05	0.000118714	6.97077E-05
216.937	2.32642E-05	0.000162926	0.000106359
206.502	2.37231E-05	0.000142102	4.66993E-05
203.104	2.38617E-05	0.000171553	1.43183E-07
195.824	2.44937E-05	0.000156654	5.70292E-05
194.125	2.49613E-05	0.000105132	9.67467E-05
190.728	2.50305E-05	0.000198337	8.71062E-05
195.339	2.51518E-05	0.000131361	6.47907E-05
203.347	2.56886E-05	0.000191753	2.81089E-06
195.581	2.75935E-05	0.000144007	6.07166E-05
