#OTU ID	BC_1	BC_2	BC_3	BS_1	BS_2	BS_3	BT_1	BT_2	BT_3
ASV390	0	0	0	80	374	0	0	0	0
ASV391	87	132	100	129	45	94	106	67	106
ASV392	0	0	0	0	0	0	0	0	0
ASV394	0	0	0	0	0	0	0	0	0
ASV393	0	0	25	0	0	0	0	57	23
ASV395	35	0	0	0	0	0	0	0	0
ASV396	0	0	0	0	0	0	0	0	0
ASV397	0	0	0	0	0	0	0	0	0
ASV398	119	76	54	56	77	73	107	43	83
ASV399	0	0	0	0	0	0	0	0	0
ASV400	92	118	87	37	111	92	110	99	106
ASV401	0	21	42	0	15	0	0	32	77
ASV402	60	86	66	56	92	69	59	99	111
ASV403	108	102	48	38	166	105	96	105	79
ASV404	0	0	0	0	0	0	0	0	0
ASV405	118	84	79	112	106	93	94	90	64
ASV406	109	95	61	36	124	124	108	82	100
ASV407	97	85	61	55	98	123	111	99	109
ASV408	82	96	123	79	87	100	82	97	90
ASV409	0	0	0	0	0	0	0	0	0
ASV410	24	11	0	0	13	34	33	13	9
ASV411	77	121	0	64	99	155	109	109	96
ASV412	0	0	0	0	36	28	22	44	55
ASV413	93	85	55	66	86	85	85	86	63
ASV415	0	0	0	0	0	0	0	0	0
ASV414	0	0	0	0	0	0	0	0	0
ASV416	0	0	0	0	0	0	0	0	0
ASV417	75	115	104	35	81	132	113	102	67
ASV418	66	123	84	94	25	135	79	134	84
ASV420	0	0	0	0	0	0	0	0	0
ASV419	0	0	0	0	0	0	0	0	0
ASV422	0	0	0	0	0	0	0	0	0
ASV421	107	133	40	36	106	116	112	74	94
ASV423	0	0	0	0	0	0	0	0	0
ASV425	0	0	0	0	0	0	0	0	0
ASV424	43	43	239	226	12	21	41	35	37
ASV426	0	0	0	0	0	0	0	0	0
ASV427	0	0	0	0	0	0	0	0	0
ASV430	0	0	0	0	0	0	0	0	0
ASV428	57	113	40	0	16	27	17	33	26
ASV429	0	0	0	0	0	0	0	47	0
ASV431	0	0	0	0	0	0	0	0	0
ASV432	0	0	0	0	0	0	0	0	0
ASV433	0	0	0	0	0	0	0	0	0
ASV434	64	92	109	108	83	103	69	84	90
ASV435	82	47	60	86	220	67	120	43	74
ASV436	0	0	0	0	0	0	0	0	0
ASV437	0	0	0	0	0	0	0	0	0
ASV438	0	0	0	0	0	0	0	0	0
ASV439	0	0	0	0	0	0	0	0	0
ASV440	116	84	89	124	64	71	104	64	75
ASV441	0	0	0	0	0	0	0	0	0
ASV442	0	0	0	0	0	0	0	0	0
ASV443	0	0	0	0	0	0	0	0	0
ASV444	0	0	152	143	0	52	58	105	0
ASV445	0	0	0	0	0	0	0	0	0
ASV447	0	0	0	0	0	0	0	0	0
ASV446	74	77	92	161	79	75	77	64	85
ASV448	0	0	0	0	0	0	0	0	0
ASV449	94	128	52	62	57	139	113	43	86
ASV450	61	35	40	63	34	28	46	365	57
ASV452	0	0	0	0	0	0	0	0	0
ASV451	98	103	29	27	107	113	101	94	97
ASV453	0	0	0	0	0	0	0	0	0
ASV454	98	69	56	74	94	90	70	83	72
ASV455	0	0	0	0	0	0	0	0	0
ASV456	0	0	0	0	0	0	0	21	0
ASV457	0	0	0	0	0	0	0	0	0
ASV458	39	34	22	0	30	11	21	137	77
ASV459	0	35	71	152	60	49	12	72	99
ASV460	71	79	75	37	105	78	106	78	89
ASV461	0	0	0	0	0	69	0	115	0
ASV462	100	68	73	111	93	90	78	68	74
ASV463	0	0	0	0	0	0	0	0	0
ASV464	86	73	82	76	45	101	107	87	90
ASV465	0	0	0	0	0	0	0	0	0
ASV466	0	0	0	0	0	0	0	0	0
ASV467	54	59	43	55	78	71	56	73	55
ASV468	66	88	35	14	116	130	133	80	78
ASV469	0	0	0	0	0	0	0	0	0
ASV471	9	9	0	0	0	0	8	16	0
ASV470	84	89	54	39	120	100	80	81	89
ASV472	0	0	0	0	0	0	0	0	0
ASV473	0	0	0	0	0	0	0	0	0
ASV474	84	88	99	89	59	76	69	80	89
ASV475	0	0	0	0	0	0	0	0	0
ASV476	78	91	81	55	85	73	89	85	94
ASV478	70	100	57	34	135	94	66	93	81
ASV477	88	61	68	92	17	31	102	125	78
ASV479	0	0	0	0	0	0	0	0	0
ASV480	128	119	0	0	136	45	0	234	65
ASV481	79	112	66	35	82	93	93	85	81
ASV482	65	104	44	74	97	74	92	93	83
ASV483	36	0	0	0	0	0	16	0	52
ASV484	102	91	73	72	85	113	85	46	55
ASV485	0	0	0	0	0	0	0	0	0
ASV486	97	85	0	51	141	79	103	87	76
ASV487	0	0	0	0	0	0	0	0	0
ASV488	58	105	120	63	88	68	61	89	64
ASV489	0	0	0	0	0	0	0	0	0
ASV490	0	0	0	0	0	0	0	9	0
ASV491	96	63	83	112	71	86	53	71	74
ASV492	0	0	0	0	0	0	0	17	0
ASV493	99	117	53	30	49	125	81	92	60
ASV494	82	116	45	25	74	133	118	59	52
ASV495	0	0	0	0	0	0	0	0	0
ASV496	0	0	0	0	0	0	0	0	0
ASV497	0	0	0	0	0	0	0	0	0
ASV499	0	0	0	0	0	0	0	0	0
ASV498	0	0	5	0	0	0	0	0	0
ASV500	0	0	0	0	0	0	0	0	0
ASV501	73	108	0	45	98	87	111	70	104
ASV502	0	0	0	0	0	0	0	0	0
ASV503	0	0	0	0	0	0	0	0	0
ASV505	0	45	0	0	0	0	0	0	0
ASV504	70	95	55	102	73	86	69	70	72
ASV506	0	0	0	0	0	0	0	0	0
ASV507	39	26	26	23	38	45	43	40	28
ASV508	0	0	0	0	0	0	0	0	0
ASV509	0	0	0	0	0	0	0	0	0
ASV511	0	0	0	0	0	0	0	0	0
ASV512	44	52	34	40	71	30	49	50	28
ASV513	0	0	0	0	0	0	0	0	0
ASV515	0	0	0	0	0	0	0	0	0
ASV514	0	0	25	25	0	0	0	106	0
ASV516	75	86	106	93	55	61	77	53	71
ASV517	0	0	0	0	0	12	12	0	0
ASV518	0	0	0	0	0	0	0	0	0
ASV520	0	0	0	0	0	0	0	0	0
ASV519	0	0	0	0	0	0	0	0	0
ASV521	90	71	17	0	81	115	107	83	97
ASV522	0	0	0	0	0	0	0	0	0
ASV523	0	0	0	0	0	0	0	0	0
ASV524	71	89	59	56	62	114	78	67	74
ASV525	0	0	0	0	0	0	0	0	0
ASV526	126	74	21	0	57	85	108	83	114
ASV527	0	0	0	0	0	0	0	0	0
ASV529	0	0	0	0	0	0	0	0	0
ASV528	63	93	37	23	114	85	85	90	76
ASV530	8	14	33	12	12	0	24	18	7
ASV531	0	0	0	0	0	0	0	0	0
ASV533	0	0	0	0	0	0	0	0	0
ASV532	6	24	10	11	13	4	16	19	17
ASV534	96	87	53	67	71	68	86	66	68
ASV535	74	59	69	49	118	71	46	110	65
ASV536	0	0	0	0	0	0	0	0	0
ASV537	0	0	0	0	0	9	9	0	16
ASV538	45	67	35	33	54	83	52	75	75
ASV539	66	69	118	91	71	54	74	55	57
ASV540	0	0	0	0	0	0	0	0	0
ASV541	0	0	0	0	0	0	0	0	0
ASV542	0	0	0	0	0	0	0	0	0
ASV543	79	50	74	49	92	72	74	62	95
ASV544	0	28	0	19	0	18	0	0	35
ASV545	0	0	0	0	0	0	0	0	0
ASV546	0	0	0	0	0	0	0	0	0
ASV548	0	0	0	0	0	0	0	0	0
ASV547	69	58	115	111	54	78	60	54	45
ASV549	0	0	0	0	0	0	0	0	0
ASV551	0	0	0	0	0	0	0	0	0
ASV550	44	52	27	26	83	53	54	61	31
ASV552	0	0	0	0	0	0	0	0	0
ASV554	51	71	23	20	78	48	61	56	50
ASV553	84	74	63	58	65	73	68	100	49
ASV555	61	73	78	105	83	58	64	67	46
ASV556	68	59	59	58	50	86	82	81	90
ASV557	0	0	0	0	0	0	0	0	0
ASV558	0	0	0	0	0	0	0	0	0
ASV559	0	0	0	0	0	0	10	9	25
ASV561	0	0	0	0	0	0	0	0	9
ASV562	0	0	0	0	0	0	0	0	0
ASV560	73	93	70	48	68	66	79	64	63
ASV563	0	0	0	0	0	0	0	0	0
ASV564	0	0	0	0	0	0	0	0	0
ASV565	0	0	0	0	0	0	0	0	0
ASV566	0	0	0	0	0	0	0	0	0
ASV567	0	0	0	0	0	0	0	0	0
ASV568	0	0	0	0	0	0	0	0	0
ASV569	0	0	0	0	0	0	0	0	0
ASV570	0	0	0	0	0	10	0	0	15
ASV571	59	64	42	51	87	65	60	98	82
ASV572	81	78	71	42	49	67	64	64	91
ASV573	0	0	0	0	0	0	0	0	0
ASV574	0	0	0	0	0	0	0	0	0
ASV576	0	0	0	0	0	0	0	0	0
ASV575	82	111	0	0	144	27	57	102	80
ASV577	0	0	0	0	0	0	0	0	0
ASV579	0	0	0	0	0	0	0	0	0
ASV578	0	0	0	0	0	0	0	0	0
ASV581	0	0	0	0	0	0	0	0	0
ASV580	28	20	0	17	25	20	21	13	16
ASV582	0	0	0	0	0	0	0	0	0
ASV583	0	0	78	0	0	0	0	0	25
ASV584	0	0	5	0	0	0	0	0	0
ASV585	69	58	33	52	78	81	65	73	86
ASV586	0	0	0	0	0	0	0	0	0
ASV587	0	0	0	0	0	0	0	0	0
ASV588	50	46	78	76	109	54	31	85	62
ASV589	0	0	0	0	0	0	0	0	0
ASV590	0	0	0	0	0	0	0	0	0
ASV591	0	0	0	0	0	0	0	0	0
ASV592	0	0	0	0	0	0	0	0	0
ASV593	0	0	0	0	0	0	0	33	0
ASV594	58	87	61	61	51	81	54	72	59
ASV595	0	0	0	0	0	0	0	0	0
ASV597	0	0	0	0	0	0	0	0	0
ASV598	0	0	0	0	0	0	0	0	0
ASV596	70	77	60	48	86	64	74	58	46
ASV599	56	70	56	48	70	75	78	58	71
ASV600	0	0	0	0	0	0	0	0	0
ASV601	0	0	0	0	0	0	0	0	0
ASV602	0	0	0	0	0	0	0	0	0
ASV603	0	0	0	7	0	0	0	0	0
ASV604	0	0	0	0	0	0	0	0	0
ASV605	0	0	0	0	7	0	0	0	0
ASV607	0	0	0	0	0	0	0	0	0
ASV606	51	64	62	60	58	81	75	39	83
ASV608	42	19	0	13	0	0	0	23	24
ASV609	0	0	0	0	0	0	0	0	0
ASV610	86	63	79	84	37	36	45	67	70
ASV612	60	69	79	71	48	55	64	49	70
ASV611	146	63	0	0	0	97	175	0	84
ASV613	0	0	0	0	0	0	0	0	0
ASV614	0	0	0	0	0	0	0	0	0
ASV615	0	0	0	0	0	0	0	0	0
ASV616	0	0	0	0	0	0	0	0	0
ASV617	0	0	0	0	0	0	0	0	0
ASV618	0	0	43	0	0	0	0	0	55
ASV619	77	70	44	62	71	78	55	58	44
ASV620	0	0	0	0	0	0	0	0	0
